trial_index,Drug,SL1,SL2,SL3,LL1,LL2,LL3,P1,P2,P3,S1,S2,S3,Water,Complexity,Complexity_STD,Formulation,Size,Size_STD,PDI,PDI_STD,Formulation Quality,iteration,Theoretical loading,Theoretical loading_STD,Theoretical loading_CI,Size_CI,PDI_CI
0,0.096,0.118,0.098,0.062,0.193,0.016,0.02,0.07,0.173,0.153,0.257,0.257,0.237,0.249,12,0,Formulation 1,128.4944116209438,6.051747791164314,0.4061233168417438,0.05083964521192057,1,0,0.096,0,0.0,15.034588264723583,0.1263028730975577
1,0.168,0.068,0.09,0.151,0.088,0.119,0.141,0.094,0.045,0.036,0.514,0.071,0.414,0.0,12,0,Formulation 2,319.1553080663724,40.19428518809522,0.3567679867730127,0.08148195917926515,1,0,0.168,0,0.0,99.85619844901457,0.20242874447806014
2,0.119,0.18,0.03,0.056,0.047,0.22,0.061,0.215,0.005,0.066,0.101,0.195,0.371,0.333,12,0,Formulation 3,229.0764108111047,2.375830481419821,0.1582568766872103,0.02998897626462643,1,0,0.119,0,0.0,5.902366441489593,0.07450275956270179
3,0.017,0.039,0.17,0.139,0.141,0.07,0.118,0.039,0.122,0.145,0.341,0.371,0.065,0.224,12,0,Formulation 4,278.5740586658293,15.38342430568128,0.3276989906116382,0.009595056029538708,1,0,0.017,0,0.0,38.217628777448105,0.023837364305182608
4,0.048,0.196,0.158,0.109,0.114,0.051,0.103,0.162,0.046,0.013,0.052,0.364,0.461,0.123,12,0,Formulation 5,251.1940826841229,0.1175340231069496,0.2407942082684122,0.01377733173531823,1,0,0.048,0,0.0,0.29199426438250853,0.03422755163879155
5,0.175,0.025,0.063,0.0,0.003,0.142,0.159,0.025,0.159,0.248,0.301,0.174,0.082,0.443,11,0,Formulation 6,196.9950014055774,4.055198291874487,0.1904060659486961,0.02080207502339983,1,0,0.175,0,0.0,10.074484058829789,0.05167938979303292
6,0.119,0.116,0.138,0.143,0.045,0.122,0.019,0.074,0.143,0.082,0.372,0.056,0.381,0.19,12,0,Formulation 7,1000.0,0.0,1.0,0.0,0,0,0.0,0,0.0,0.0,0.0
7,0.069,0.056,0.024,0.085,0.155,0.091,0.198,0.131,0.099,0.091,0.169,0.36,0.173,0.298,12,0,Formulation 8,218.6975312281005,10.71682449399013,0.2707943313005062,0.02958781961517211,1,0,0.069,0,0.0,26.624216562311048,0.0735061507709396
8,0.056,0.165,0.198,0.02,0.077,0.06,0.083,0.173,0.028,0.139,0.247,0.485,0.077,0.191,12,0,Formulation 9,263.0406161130487,3.837711102525086,0.2977119213248108,0.01330419140503101,1,0,0.056,0,0.0,9.534172324508303,0.03305211103836046
9,0.155,0.03,0.004,0.116,0.17,0.185,0.136,0.004,0.136,0.064,0.345,0.049,0.283,0.323,12,0,Formulation 10,214.7847255596217,5.099425183620458,0.255007000962565,0.03079584235270097,1,0,0.155,0,0.0,12.668696824152628,0.07650728781430544
10,0.135,0.095,0.118,0.082,0.118,0.129,0.042,0.075,0.18,0.026,0.394,0.206,0.257,0.143,12,0,Formulation 11,267.3104222763325,12.80292813111108,0.2736189859506681,0.03506281699973989,1,0,0.135,0,0.0,31.806803534532122,0.08710789596388961
11,0.034,0.093,0.073,0.194,0.034,0.002,0.179,0.145,0.079,0.167,0.019,0.263,0.37,0.347,12,0,Formulation 12,1000.0,0.0,1.0,0.0,0,0,0.0,0,0.0,0.0,0.0
12,0.008,0.183,0.063,0.221,0.033,0.106,0.0,0.074,0.21,0.104,0.26,0.293,0.172,0.274,11,0,Formulation 13,1000.0,0.0,1.0,0.0,0,0,0.0,0,0.0,0.0,0.0
13,0.1,0.062,0.133,0.05,0.1,0.145,0.148,0.103,0.06,0.1,0.11,0.247,0.473,0.17,12,0,Formulation 14,252.3563311140505,7.142263688252661,0.1686356714099053,0.04573077111154008,1,0,0.1,0,0.0,17.74379857464375,0.11361070196847085
14,0.146,0.143,0.057,0.094,0.126,0.091,0.054,0.14,0.016,0.133,0.214,0.153,0.031,0.603,12,0,Formulation 15,316.9041435280837,4.220268741447002,0.4319952545179766,0.09725797094706691,1,0,0.146,0,0.0,10.484574883767838,0.24162169328776267
15,0.139,0.017,0.202,0.046,0.106,0.056,0.169,0.056,0.169,0.04,0.398,0.353,0.225,0.024,12,0,Formulation 16,246.0256074541057,5.748263323443141,0.2694247008547361,0.01836701523482775,1,0,0.139,0,0.0,14.280630205931315,0.04562987772073249
16,0.239,0.0,0.0,0.142,0.206,0.14,0.242,0.0,0.031,0.0,0.603,0.0,0.397,0.0,7,0,Formulation 1,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
17,0.347,0.0,0.0,0.0,0.0,0.386,0.267,0.0,0.0,0.0,0.242,0.0,0.317,0.442,4,0,Formulation 2,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
18,0.282,0.0,0.0,0.17,0.245,0.0,0.303,0.0,0.0,0.0,0.763,0.0,0.237,0.0,5,0,Formulation 3,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
19,0.245,0.0,0.0,0.123,0.157,0.261,0.214,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,Formulation 4,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
20,0.324,0.0,0.0,0.155,0.199,0.0,0.321,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,Formulation 5,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
21,0.285,0.0,0.0,0.191,0.268,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,Formulation 6,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
22,0.273,0.0,0.0,0.194,0.251,0.0,0.282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,Formulation 7,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
23,0.279,0.0,0.0,0.187,0.25,0.0,0.284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,Formulation 8,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
24,0.28,0.0,0.0,0.193,0.248,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,Formulation 9,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
25,0.276,0.0,0.0,0.193,0.244,0.0,0.287,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,Formulation 10,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
26,0.284,0.0,0.0,0.19,0.263,0.0,0.263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,Formulation 11,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
27,0.343,0.0,0.0,0.146,0.179,0.0,0.332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,Formulation 12,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
28,0.274,0.0,0.0,0.196,0.251,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,Formulation 13,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
29,0.276,0.0,0.0,0.196,0.244,0.0,0.284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,Formulation 14,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
30,0.273,0.0,0.0,0.194,0.251,0.0,0.282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,Formulation 15,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
31,0.291,0.0,0.0,0.189,0.27,0.0,0.249,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,Formulation 16,1000.0,0.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0
32,0.236,0.027,0.161,0.0,0.134,0.0,0.134,0.075,0.233,0.0,0.397,0.384,0.219,0.0,9,0,Formulation 1,161.2697306605048,3.677573300660924,0.2085624333180173,0.02417886845665356,1,2,0.236,0,0.0,9.136335864740314,0.06006848674087924
33,0.343,0.049,0.304,0.0,0.0,0.0,0.0,0.0,0.304,0.0,0.411,0.39,0.199,0.0,6,0,Formulation 2,142.4139219549915,1.960973584623762,0.3836447747404599,0.1171038866711226,1,2,0.343,0,0.0,4.871721601792848,0.29092566000019165
34,0.402,0.133,0.299,0.0,0.0,0.0,0.0,0.0,0.166,0.0,0.596,0.0,0.404,0.0,5,0,Formulation 3,231.3371107622332,8.673832118494497,0.2206990092629054,0.04234771587082683,1,2,0.402,0,0.0,21.548732544554763,0.10520604857309969
35,0.476,0.152,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.0,0.695,0.0,4,0,Formulation 4,298.4118763487749,7.863227779357842,0.2349082787475546,0.03050159118343187,1,2,0.476,0,0.0,19.534917213005183,0.07577626839164651
36,0.524,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,Formulation 5,247.1749063958706,9.397339807795339,0.2624967337043178,0.008046359890155563,1,2,0.524,0,0.0,23.3461703411003,0.0199898793130308
37,0.74,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,Formulation 6,215.9759889066113,10.64897924026544,0.3326666697875577,0.02329405410565636,1,2,0.74,0,0.0,26.455666006229436,0.05787030864142441
38,0.505,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,Formulation 7,246.727759601328,8.389961029643924,0.3522080413341262,0.0606802691386908,1,2,0.505,0,0.0,20.843500752285042,0.1507503111125701
39,0.567,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,Formulation 8,1000.0,0.0,1.0,0.0,0,2,0.0,0,0.0,0.0,0.0
40,0.573,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,Formulation 9,240.7385862391307,4.893344906615702,0.2663602015895318,0.08375585417269807,1,2,0.573,0,0.0,12.156723718007935,0.20807786869195982
41,0.411,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.38,0.38,0.24,0.0,5,0,Formulation 10,28.20665863263348,0.6292334580485007,0.1495056591163664,0.03498642551819565,1,2,0.411,0,0.0,1.5632287217850727,0.08691811368749885
42,0.494,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.322,0.0,0.637,0.363,0.0,0.0,4,0,Formulation 11,70.2639770725446,4.150322771052859,0.5336937988400553,0.02156669994151759,1,2,0.494,0,0.0,10.310805436999441,0.0535789766921487
43,0.558,0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,Formulation 12,241.3104435604058,6.032211883721211,0.2237880817909364,0.04515899516292455,1,2,0.558,0,0.0,14.986054463428419,0.11219021713272517
44,0.571,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,Formulation 13,253.8870705321419,18.44640055055855,0.2128998205053556,0.03633641015423662,1,2,0.571,0,0.0,45.827097693782285,0.09027193209946441
45,0.578,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,Formulation 14,264.4055116063013,9.377609820804603,0.2203712546258755,0.001070547810047507,1,2,0.578,0,0.0,23.2971543805695,0.002659602828337492
46,0.578,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,Formulation 15,236.8480754020953,8.30642589112866,0.1996541493550152,0.09423332064931898,1,2,0.578,0,0.0,20.63597121593402,0.2341074389862521
47,0.578,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,Formulation 16,246.794756072026,0.8035107070217961,0.271040830107915,0.02002269964405929,1,2,0.578,0,0.0,1.9961923502508434,0.04974315775951102
