SL_1,SL_2,SL_3,LL_1,LL_2,LL_3,P_1,P_2,P_3,S_1,S_2,S_3,Theoretical loading,Size,PDI
0.118,0.098,0.062,0.193,0.016,0.02,0.07,0.173,0.153,0.257,0.257,0.237,0.096,0.1284944116209438,0.4061233168417438
0.068,0.09,0.151,0.088,0.119,0.141,0.094,0.045,0.036,0.514,0.071,0.414,0.168,0.31915530806637243,0.3567679867730127
0.18,0.03,0.056,0.047,0.22,0.061,0.215,0.005,0.066,0.101,0.195,0.371,0.119,0.2290764108111047,0.1582568766872103
0.039,0.17,0.139,0.141,0.07,0.118,0.039,0.122,0.145,0.341,0.371,0.065,0.017,0.2785740586658293,0.3276989906116382
0.196,0.158,0.109,0.114,0.051,0.103,0.162,0.046,0.013,0.052,0.364,0.461,0.048,0.2511940826841229,0.2407942082684122
0.025,0.063,0.0,0.003,0.142,0.159,0.025,0.159,0.248,0.301,0.174,0.082,0.175,0.1969950014055774,0.1904060659486961
0.116,0.138,0.143,0.045,0.122,0.019,0.074,0.143,0.082,0.372,0.056,0.381,0.0,1.0,1.0
0.056,0.024,0.085,0.155,0.091,0.198,0.131,0.099,0.091,0.169,0.36,0.173,0.069,0.2186975312281005,0.2707943313005062
0.165,0.198,0.02,0.077,0.06,0.083,0.173,0.028,0.139,0.247,0.485,0.077,0.056,0.2630406161130487,0.2977119213248108
0.03,0.004,0.116,0.17,0.185,0.136,0.004,0.136,0.064,0.345,0.049,0.283,0.155,0.2147847255596217,0.255007000962565
0.095,0.118,0.082,0.118,0.129,0.042,0.075,0.18,0.026,0.394,0.206,0.257,0.135,0.26731042227633245,0.2736189859506681
0.093,0.073,0.194,0.034,0.002,0.179,0.145,0.079,0.167,0.019,0.263,0.37,0.0,1.0,1.0
0.183,0.063,0.221,0.033,0.106,0.0,0.074,0.21,0.104,0.26,0.293,0.172,0.0,1.0,1.0
0.062,0.133,0.05,0.1,0.145,0.148,0.103,0.06,0.1,0.11,0.247,0.473,0.1,0.2523563311140505,0.1686356714099053
0.143,0.057,0.094,0.126,0.091,0.054,0.14,0.016,0.133,0.214,0.153,0.031,0.146,0.3169041435280837,0.4319952545179766
0.017,0.202,0.046,0.106,0.056,0.169,0.056,0.169,0.04,0.398,0.353,0.225,0.139,0.2460256074541057,0.2694247008547361
0.0,0.0,0.142,0.206,0.14,0.242,0.0,0.031,0.0,0.603,0.0,0.397,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.386,0.267,0.0,0.0,0.0,0.242,0.0,0.317,0.0,1.0,1.0
0.0,0.0,0.17,0.245,0.0,0.303,0.0,0.0,0.0,0.763,0.0,0.237,0.0,1.0,1.0
0.0,0.0,0.123,0.157,0.261,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.155,0.199,0.0,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.191,0.268,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.194,0.251,0.0,0.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.187,0.25,0.0,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.193,0.248,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.193,0.244,0.0,0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.19,0.263,0.0,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.146,0.179,0.0,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.196,0.251,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.196,0.244,0.0,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.194,0.251,0.0,0.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.189,0.27,0.0,0.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.027,0.161,0.0,0.134,0.0,0.134,0.075,0.233,0.0,0.397,0.384,0.219,0.236,0.1612697306605048,0.2085624333180173
0.049,0.304,0.0,0.0,0.0,0.0,0.0,0.304,0.0,0.411,0.39,0.199,0.343,0.1424139219549915,0.3836447747404599
0.133,0.299,0.0,0.0,0.0,0.0,0.0,0.166,0.0,0.596,0.0,0.404,0.402,0.2313371107622332,0.2206990092629054
0.152,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.0,0.695,0.476,0.2984118763487749,0.2349082787475546
0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.524,0.2471749063958706,0.2624967337043178
0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.74,0.2159759889066113,0.3326666697875577
0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.505,0.24672775960132798,0.3522080413341262
0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573,0.24073858623913072,0.2663602015895318
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.38,0.38,0.24,0.411,0.02820665863263348,0.1495056591163664
0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.322,0.0,0.637,0.363,0.0,0.494,0.0702639770725446,0.5336937988400553
0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558,0.2413104435604058,0.2237880817909364
0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.2538870705321419,0.2128998205053556
0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.26440551160630127,0.2203712546258755
0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.2368480754020953,0.1996541493550152
0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.246794756072026,0.271040830107915
0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576,0.25079122959001837,0.2554991874050814
0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.576,0.27198325245474764,0.2423252494971979
0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.2465443359851403,0.3306690398422925
0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.2550574380378541,0.1794154453078554
0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.2555998580132523,0.234082212867277
0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.24602738089155632,0.1941334014394693
0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.2508152815769174,0.2323816715380942
0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.2688584597371978,0.1833502233326554
0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.579,0.2626391982793762,0.1677878264207143
0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.2552462563404744,0.1736614481263249
0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.2458329329407954,0.1665965973748742
0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.2253294990878953,0.1894116460139001
0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.25778801355733705,0.1509309990114283
0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.2567838258731002,0.1464260678337775
